cue_id,type,prompt_or_line,duration_seconds,variants,loop,voice_style,emotion
UI_CONFIRM,sfx,Clean soft futuristic digital confirmation click with a short cyan shimmer,0.4,3,no,,
UI_REJECT,sfx,Short low electronic rejection buzz with two descending tones,0.45,3,no,,
UI_CARD_PICKUP,sfx,Crisp holographic card pickup with a light magnetic snap,0.35,3,no,,
UI_CARD_DROP_VALID,sfx,Positive sci-fi card deployment lock with a compact energy seal,0.55,3,no,,
UI_CARD_DROP_INVALID,sfx,Dry digital card placement failure with a brief warning chirp,0.45,3,no,,
UI_CARD_ADD,sfx,Command card added to a digital loadout with a clean data insertion sound,0.45,3,no,,
UI_CARD_REMOVE,sfx,Command card removed from a digital loadout with a reversed data pull,0.45,3,no,,
UI_PANEL_OPEN,sfx,Compact futuristic interface panel unfolding,0.35,3,no,,
UI_PANEL_CLOSE,sfx,Compact futuristic interface panel retracting,0.3,3,no,,
UI_MODE_SELECT,sfx,Tactical game protocol selected with a confident digital lock,0.55,3,no,,
UI_PILOT_SELECT,sfx,Pilot identity accepted by a military sci-fi command console,0.6,3,no,,
UI_TOWER_WEAPON_SELECT,sfx,Mechanical weapon module selected and electronically armed,0.65,3,no,,
UI_LOADOUT_PRESET,sfx,Eight-card command loadout rapidly assembling and locking,0.8,3,no,,
UI_UPGRADE_TIER_1,sfx,Robot firmware upgrade ascending one tier with a clean power-up chime,0.8,3,no,,
UI_UPGRADE_TIER_2,sfx,Advanced robot firmware upgrade with a brighter two-stage power-up chime,1,3,no,,
UI_UPGRADE_REMOVE,sfx,Firmware allocation removed with a subtle descending digital tone,0.5,3,no,,
UI_PAUSE,sfx,Game systems suspending with a short digital power-down lock,0.6,2,no,,
UI_RESUME,sfx,Game systems resuming with a short digital power-up lock,0.6,2,no,,
UI_MUTE,sfx,All audio channels muting with a compact filtered shutdown click,0.4,2,no,,
UI_UNMUTE,sfx,All audio channels restoring with a compact bright activation click,0.4,2,no,,
MATCH_LAUNCH,sfx,Sci-fi command deck deployment accepted followed by arena systems ignition,1.8,3,no,,
MATCH_START_CORE_SIEGE,sfx,Heavy tactical match-start stinger for a balanced core siege battle,2.2,3,no,,
MATCH_START_TURBO_GRID,sfx,Fast aggressive match-start stinger with accelerated electronic pulses,2,3,no,,
MATCH_START_RELAY_RUSH,sfx,Urgent race-style match-start stinger focused on breaching two relays,2,3,no,,
MATCH_START_BEST_OF_THREE,sfx,Competitive series match-start stinger with three measured impacts,2.4,3,no,,
ROUND_START,sfx,Short decisive new-round combat stinger for a sci-fi strategy game,1.5,3,no,,
STAGE_RELAY_WAR,sfx,Opening bonus ends and full relay war begins with a tactical electronic transition,1.4,3,no,,
STAGE_CORE_SURGE,sfx,High-energy core surge activation with rapidly rising power and double-charge emphasis,1.8,3,no,,
POWER_DRAIN_WARNING,sfx,Critical arena power drain warning siren with unstable electrical undertone,3,3,no,,
POWER_DRAIN_PULSE,sfx,Heavy repeating tower power drain pulse with low electrical impact,0.7,4,no,,
ROUND_VICTORY,sfx,Short positive round victory stinger with an upward digital cadence,2.5,3,no,,
ROUND_DEFEAT,sfx,Short ominous round defeat stinger with a downward digital cadence,2.5,3,no,,
MATCH_VICTORY,sfx,Triumphant futuristic battle victory stinger with powerful robotic confidence,5,3,no,,
MATCH_DEFEAT,sfx,Dark futuristic battle defeat stinger with failing machinery and descending tones,5,3,no,,
MATCH_DRAW,sfx,Unresolved neutral sci-fi match result sting ending on a suspended cadence,4,3,no,,
WEAPON_BULLET_LIGHT_FIRE,sfx,Compact futuristic light robot gunshot with a sharp mechanical energy snap,0.18,4,no,,
WEAPON_BULLET_HEAVY_FIRE,sfx,Heavy futuristic robot cannon shot with metal recoil and energy crack,0.3,4,no,,
WEAPON_SENTRY_BURST,sfx,Automated arc sentry firing a precise short ballistic energy burst,0.28,4,no,,
WEAPON_PULSE_FIRE,sfx,Clean focused cyan pulse rifle shot with a fast electronic tail,0.3,4,no,,
IMPACT_BULLET_ARMOR,sfx,Futuristic projectile striking thick robot armor with sparks and metal debris,0.35,4,no,,
IMPACT_BULLET_SHIELD,sfx,Projectile absorbed by a bright sci-fi energy shield,0.3,4,no,,
IMPACT_PULSE,sfx,Focused energy pulse striking a robotic target with a compact electrical bloom,0.4,4,no,,
WEAPON_ROCKET_LAUNCH_LIGHT,sfx,Small robot rocket launch with ignition pop and brief propulsion tail,0.55,4,no,,
WEAPON_ROCKET_LAUNCH_HEAVY,sfx,Heavy siege rocket launch with deep mechanical recoil and roaring ignition,0.9,4,no,,
WEAPON_ROCKET_FLIGHT,sfx,Short futuristic rocket flight whoosh with unstable propulsion,1.2,3,no,,
WEAPON_SIEGE_CHARGE,sfx,Long-range robotic siege weapon charging with mechanical locking stages,1.2,3,no,,
IMPACT_ROCKET_SMALL,sfx,Small sci-fi rocket explosion against armored machinery,0.8,4,no,,
IMPACT_ROCKET_HEAVY,sfx,Large heavy sci-fi rocket explosion with metal debris and low-end shock,1.4,4,no,,
IMPACT_ROCKET_SPLASH,sfx,Wide rocket splash explosion damaging several nearby robots,1,4,no,,
WEAPON_FLAME_IGNITE,sfx,Futuristic flame weapon igniting with compressed fuel and plasma crackle,0.7,3,no,,
WEAPON_FLAME_LOOP,sfx,Continuous short-range futuristic flame jet with plasma texture,3,3,yes,,
WEAPON_FLAME_STOP,sfx,Futuristic flame jet shutting off with pressure release,0.5,3,no,,
IMPACT_FLAME,sfx,Thermal plasma flame striking robot armor with sizzling sparks,0.45,4,no,,
WEAPON_ARC_CHARGE,sfx,Electrical robot weapon charging with unstable arcing current,0.8,3,no,,
IMPACT_ARC_PRIMARY,sfx,Concentrated electrical blast hitting a robotic target,0.65,4,no,,
IMPACT_ARC_CHAIN,sfx,Electric arc jumping from one robot to another with a bright crack,0.5,4,no,,
ELECTRONICS_DISABLED_LOOP,sfx,Quiet damaged electronics sputtering and interference loop,3,3,yes,,
ELECTRONICS_RECOVER,sfx,Disabled futuristic electronics rebooting and returning online,0.9,3,no,,
REPAIR_BEAM_START,sfx,Friendly robotic repair beam activating with precise diagnostic tones,0.6,3,no,,
REPAIR_BEAM_LOOP,sfx,Soft futuristic repair beam sustaining with micro-welding and data pulses,3,3,yes,,
REPAIR_BEAM_STOP,sfx,Robotic repair beam disengaging cleanly,0.45,3,no,,
REPAIR_COMPLETE,sfx,Robot repair cycle completed with a warm positive diagnostic chirp,0.65,3,no,,
SHIELD_ACTIVATE,sfx,Strong futuristic energy barrier expanding around a robot,0.9,3,no,,
SHIELD_IMPACT,sfx,Incoming damage rippling across a dense energy shield,0.45,4,no,,
SHIELD_BREAK,sfx,Futuristic energy shield overloading and shattering,1,3,no,,
DAMAGE_REDUCTION_PING,sfx,Subtle defensive matrix absorbing part of an incoming hit,0.25,4,no,,
LIFESTEAL_SIPHON,sfx,Mechanical salvage energy siphoned from an enemy into a robot,0.75,3,no,,
SELF_REPAIR,sfx,Compact robot rapidly repairing itself with metallic nanotech,0.7,3,no,,
MOVEMENT_LIGHT_STEP,sfx,Small agile robot footstep on a metal arena floor,0.22,4,no,,
MOVEMENT_HEAVY_STEP,sfx,Heavy armored robot footstep with servo weight on a metal arena floor,0.4,4,no,,
MOVEMENT_SERVO_LIGHT,sfx,Fast lightweight robotic servo movement,0.35,4,no,,
MOVEMENT_SERVO_HEAVY,sfx,Slow powerful hydraulic robot servo movement,0.55,4,no,,
MOVEMENT_HOVER_LOOP,sfx,Small futuristic combat drone hovering steadily,3,3,yes,,
MOVEMENT_PHASE_DEPART,sfx,Robot phasing out of physical space with a distorted energy sweep,0.55,3,no,,
MOVEMENT_PHASE_ARRIVE,sfx,Robot snapping back into physical space with a reversed energy sweep,0.55,3,no,,
SENTRY_ROTATE_LOOP,sfx,Compact defensive turret rotating on precise mechanical servos,2,3,yes,,
SENTRY_TARGET_LOCK,sfx,Automated turret acquiring and locking a target,0.4,3,no,,
DESTROY_ROBOT_SMALL,sfx,Small futuristic robot bursting apart with sparks and light metal debris,0.8,4,no,,
DESTROY_ROBOT_HEAVY,sfx,Large armored robot collapsing with an internal explosion and heavy metal debris,1.5,4,no,,
DESTROY_ROBOT_FLYING,sfx,Combat drone losing power and crashing with sparks and metal impact,1.4,4,no,,
DESTROY_INSTALLATION,sfx,Stationary sci-fi installation collapsing in a machinery explosion,1.6,4,no,,
DESTROY_INSTALLATION_DECAY,sfx,Temporary robotic installation powering down and disintegrating cleanly,1.2,3,no,,
DESTROY_RELAY_FRIENDLY,sfx,Friendly defense relay catastrophically destroyed with a falling warning alarm,2.2,3,no,,
DESTROY_RELAY_ENEMY,sfx,Enemy defense relay destroyed with a rising tactical success accent,2.2,3,no,,
DESTROY_CORE_FRIENDLY,sfx,Friendly central robot core catastrophically collapsing with a critical alarm,3.2,3,no,,
DESTROY_CORE_ENEMY,sfx,Enemy central robot core destroyed in a massive victorious machinery explosion,3.2,3,no,,
TOWER_DAMAGE_ALARM_FRIENDLY,sfx,Urgent friendly tower integrity warning alarm,1.2,3,no,,
TOWER_DAMAGE_ALARM_ENEMY,sfx,Subtle enemy tower damage confirmation alarm,0.8,3,no,,
TOWER_RELAY_GUN_FIRE,sfx,Fixed sci-fi defense relay firing twin rapid guns,0.32,4,no,,
TOWER_RELAY_ROCKET_FIRE,sfx,Fixed defense relay launching a heavy siege rocket,0.8,4,no,,
TOWER_RELAY_FLAME_LOOP,sfx,Fixed defense relay projecting a continuous futuristic flame jet,3,3,yes,,
TOWER_CORE_ROCKET_FIRE,sfx,Massive central core tower launching a defensive rocket,1,4,no,,
VOICE_ZIP,voice,ZIP online.,1.1,3,no,small agile robotic scout with a clipped synthetic voice,alert
VOICE_ZIP_DEPLOY,voice,Target acquired.,1.1,3,no,small agile robotic scout with a clipped synthetic voice,eager
VOICE_SWARM,voice,Swarm synchronized.,1.1,3,no,layered collective of small digital robot voices,focused
VOICE_SWARM_DEPLOY,voice,Flood the lane.,1.1,3,no,layered collective of small digital robot voices,aggressive
VOICE_BRUTE,voice,Titan ready.,1.1,3,no,massive armored robot with a deep mechanical voice,stoic
VOICE_BRUTE_DEPLOY,voice,Structures first.,1.1,3,no,massive armored robot with a deep mechanical voice,determined
VOICE_RAIL,voice,Hardpoint locked.,1.1,3,no,tall siege robot with a slow resonant synthetic voice,precise
VOICE_RAIL_DEPLOY,voice,Siege solution acquired.,1.1,3,no,tall siege robot with a slow resonant synthetic voice,cold
VOICE_PULSE,voice,Pulse Ranger tracking.,1.1,3,no,advanced tactical robot with a clean synthetic voice,confident
VOICE_PULSE_DEPLOY,voice,All targets visible.,1.1,3,no,advanced tactical robot with a clean synthetic voice,focused
VOICE_ARC,voice,Arc systems charged.,1.1,3,no,electrical disruption robot with a crackling synthetic voice,intense
VOICE_ARC_DEPLOY,voice,Disruption online.,1.1,3,no,electrical disruption robot with a crackling synthetic voice,aggressive
VOICE_DRONE,voice,Airspace acquired.,1.1,3,no,small airborne combat robot with a radio-filtered voice,calm
VOICE_DRONE_DEPLOY,voice,Strike vector set.,1.1,3,no,small airborne combat robot with a radio-filtered voice,focused
VOICE_PATCH,voice,Diagnostics green.,1.1,3,no,friendly repair robot with a warm synthetic voice,reassuring
VOICE_PATCH_DEPLOY,voice,Repair protocol active.,1.1,3,no,friendly repair robot with a warm synthetic voice,helpful
VOICE_VECTOR,voice,VECTOR-9 online.,1.1,3,no,authoritative military robot commander with a deep synthetic voice,commanding
VOICE_VECTOR_DEPLOY,voice,Command authority established.,1.4,3,no,authoritative military robot commander with a deep synthetic voice,commanding
VOICE_VECTOR_OVERDRIVE,voice,Overdrive authorized.,1.1,3,no,authoritative military robot commander with a deep synthetic voice,urgent
VOICE_AEGIS,voice,Barrier systems ready.,1.1,3,no,heavy defensive robot with a calm resonant synthetic voice,steadfast
VOICE_AEGIS_DEPLOY,voice,Holding the line.,1.1,3,no,heavy defensive robot with a calm resonant synthetic voice,determined
VOICE_WRAITH,voice,Phase coil stable.,1.1,3,no,exotic phase robot with a whispered distorted synthetic voice,eerie
VOICE_WRAITH_DEPLOY,voice,Crossing the veil.,1.1,3,no,exotic phase robot with a whispered distorted synthetic voice,menacing
VOICE_VIPER,voice,Salvage cycle armed.,1.1,3,no,aggressive salvage robot with a raspy mechanical voice,hungry
VOICE_VIPER_DEPLOY,voice,Claiming resources.,1.1,3,no,aggressive salvage robot with a raspy mechanical voice,aggressive
CARD_ZIP_SPRINT_LOOP,sfx,Bolt Hound rapid lightweight servo sprint with compact mechanical paws,2.5,3,yes,,
CARD_SWARM_DEPLOY,sfx,Several Microbit robots materializing together in a digital packet burst,0.9,3,no,,
CARD_SWARM_ATTACK,sfx,Cluster of tiny robots attacking in rapid synchronized bursts,0.45,4,no,,
CARD_SWARM_DESTROY,sfx,Several tiny robots failing in a cascading series of sparks,1,4,no,,
CARD_BRUTE_DEPLOY,sfx,Titan-0 heavy armored landing with hydraulic suspension,1.2,3,no,,
CARD_RAIL_DEPLOY,sfx,Rail Strider unfolding and locking tall siege hydraulics,1.3,3,no,,
CARD_PULSE_TRACKING,sfx,Pulse Ranger rapidly tracking targets with a precision servo array,0.55,3,no,,
CARD_ARC_BOOT,sfx,Arc Crawler powering up with unstable electricity around its chassis,1,3,no,,
CARD_DRONE_LIFTOFF,sfx,Jet Drone lifting from the arena floor into a stable hover,1,3,no,,
CARD_DRONE_DAMAGED_LOOP,sfx,Damaged futuristic drone hovering unevenly with sputtering propulsion,3,3,yes,,
CARD_PATCH_DEPLOY,sfx,Patch Bot deploying with a friendly diagnostic startup sequence,0.9,3,no,,
CARD_VECTOR_DEPLOY,sfx,VECTOR-9 Commander landing with an authoritative power surge,1.2,3,no,,
CARD_VECTOR_OVERDRIVE_START,sfx,Commander Overdrive aura igniting with a powerful expanding energy pulse,1.2,3,no,,
CARD_VECTOR_OVERDRIVE_LOOP,sfx,Controlled high-energy Overdrive aura humming around nearby robots,3,3,yes,,
CARD_VECTOR_OVERDRIVE_END,sfx,Overdrive aura collapsing cleanly as systems return to normal,0.8,3,no,,
CARD_AEGIS_BARRIER_BOOT,sfx,AEGIS-4 deploying a dense defensive barrier around its armor,1.1,3,no,,
CARD_WRAITH_ATTACK,sfx,Wraith Coil striking immediately after a phase distortion,0.5,4,no,,
CARD_WRAITH_DESTROY,sfx,Unstable Wraith Coil breaking apart across phase space,1.2,3,no,,
CARD_VIPER_ATTACK,sfx,Scrap Viper tearing into armored machinery with a fast salvage strike,0.45,4,no,,
CARD_EMP_SELECT,sfx,EMP Flash command card selected with a sharp electrical targeting chirp,0.45,3,no,,
CARD_EMP_TARGET_CHARGE,sfx,EMP field charging with rapidly rising electronic interference,0.8,3,no,,
CARD_EMP_DETONATE,sfx,Wide electromagnetic pulse detonating and disabling futuristic machines,1.2,4,no,,
CARD_EMP_SHUTDOWN,sfx,Multiple robotic systems abruptly losing power after an EMP,0.8,3,no,,
CARD_NANO_SELECT,sfx,Nano Cloud command card selected with microscopic digital motion,0.45,3,no,,
CARD_NANO_RELEASE,sfx,Corrosive nanobot cloud released into a sci-fi arena,0.9,3,no,,
CARD_NANO_CLOUD_LOOP,sfx,Persistent cloud of hostile microscopic machines corroding metal,3,3,yes,,
CARD_NANO_DAMAGE_TICK,sfx,Short corrosive nanobot damage pulse eating robot armor,0.35,4,no,,
CARD_NANO_DISSIPATE,sfx,Nanobot cloud losing cohesion and fading away,0.8,3,no,,
CARD_GRAVITY_SELECT,sfx,Gravity Well command card selected with a deep spatial bend,0.5,3,no,,
CARD_GRAVITY_CHARGE,sfx,Artificial singularity charging with deep gravitational pressure,1,3,no,,
CARD_GRAVITY_IMPLODE,sfx,Compact gravity well imploding and pulling robots inward,1.3,4,no,,
CARD_GRAVITY_PULL,sfx,Heavy spatial sweep dragging metal robots toward a singularity,0.9,3,no,,
CARD_GRAVITY_SLOW_LOOP,sfx,Subtle warped-time ambience slowing futuristic machinery,3,3,yes,,
CARD_GRAVITY_COLLAPSE,sfx,Artificial gravity well collapsing with a reversed low-frequency snap,0.9,3,no,,
CARD_SENTRY_SELECT,sfx,Arc Sentry command card selected with an automated target scan,0.45,3,no,,
CARD_SENTRY_PLACE,sfx,Compact automated turret clamping onto a metal arena platform,0.8,3,no,,
CARD_SENTRY_BOOT,sfx,Arc Sentry powering up and calibrating its weapon,0.9,3,no,,
CARD_SENTRY_SHUTDOWN,sfx,Temporary sentry turret timing out and powering down,0.9,3,no,,
CARD_FOUNDRY_SELECT,sfx,Microbot Foundry command card selected with a fabrication chirp,0.45,3,no,,
CARD_FOUNDRY_PLACE,sfx,Heavy microbot factory installation locking onto the arena floor,1.1,3,no,,
CARD_FOUNDRY_START,sfx,Compact robotic factory machinery starting in sequenced stages,1.2,3,no,,
CARD_FOUNDRY_LOOP,sfx,Small futuristic robot factory operating with rhythmic fabrication machinery,4,3,yes,,
CARD_FOUNDRY_SPAWN_WAVE,sfx,Pair of Microbots released from a small robotic factory,0.9,4,no,,
CARD_FOUNDRY_SHUTDOWN,sfx,Microbot Foundry machinery winding down and losing power,1.1,3,no,,
CARD_FIREWALL_SELECT,sfx,Firewall Node command card selected with a defensive matrix chirp,0.45,3,no,,
CARD_FIREWALL_PLACE,sfx,Defensive Firewall Node locking onto the arena floor,0.9,3,no,,
CARD_FIREWALL_EXPAND,sfx,Wide protective energy matrix expanding from a central node,1.2,3,no,,
CARD_FIREWALL_AURA_LOOP,sfx,Quiet stable defensive energy matrix humming in a sci-fi arena,4,3,yes,,
CARD_FIREWALL_COLLAPSE,sfx,Defensive energy matrix shrinking and shutting down,1,3,no,,
MICROBOT_SPAWN,sfx,Tiny fabricated combat robot dropping onto a metal arena floor,0.45,4,no,,
MICROBOT_MOVEMENT,sfx,Tiny fast robot skittering across a metal arena floor,0.4,4,no,,
MICROBOT_ATTACK,sfx,Tiny robot delivering a quick compact mechanical attack,0.25,4,no,,
MICROBOT_DESTROY,sfx,Tiny fabricated robot popping apart in sparks,0.5,4,no,,
REWARD_XP,sfx,Digital experience points rapidly accumulating in a sci-fi game interface,0.9,3,no,,
REWARD_LEVEL_UP,sfx,Major futuristic player level-up celebration with ascending power,2,3,no,,
REWARD_CACHE_REVEAL,sfx,Sealed futuristic reward cache opening with mechanical locks and energy light,1.8,3,no,,
REWARD_FRAGMENT,sfx,Collectible robot data fragment acquired with a crystalline digital tone,0.65,4,no,,
REWARD_CARD_UNLOCK,sfx,New command card unlocked with a confident holographic reveal,1.8,3,no,,
REWARD_MASTERY_UPGRADE,sfx,Robot card mastery rank increasing with layered digital power,1.6,3,no,,
REWARD_FIRMWARE_CAPACITY,sfx,Additional firmware capacity unlocked with a technical expansion tone,1.2,3,no,,
MUSIC_LOBBY_LOOP,music,"Loopable 8-bit industrial sci-fi strategy game lobby music, robotic but welcoming, no vocals",45,2,yes,,
MUSIC_DEPLOY_TRANSITION,music,Short 8-bit industrial sci-fi transition from command lobby into robot battle,3,3,no,,
MUSIC_BATTLE_OPENING,music,"Brief 8-bit industrial robot battle introduction building into a tactical loop, no vocals",8,2,no,,
MUSIC_OPENING_STAGE_LOOP,music,"Loopable restrained 8-bit industrial sci-fi combat music for an opening charge bonus, no vocals",45,2,yes,,
MUSIC_RELAY_WAR_LOOP,music,"Loopable energetic 8-bit industrial robot arena battle music with tactical momentum, no vocals",60,2,yes,,
MUSIC_CORE_SURGE_LOOP,music,"Loopable high-intensity 8-bit industrial sci-fi battle music for doubled energy and final pressure, no vocals",45,2,yes,,
MUSIC_POWER_DRAIN_LOOP,music,"Loopable critical 8-bit sci-fi power drain countdown music with unstable industrial pulse, no vocals",16,2,yes,,
MUSIC_RELAY_DESTROYED_FRIENDLY,music,Short dark musical sting for a friendly defense relay being destroyed,2.5,3,no,,
MUSIC_RELAY_DESTROYED_ENEMY,music,Short rising musical sting for destroying an enemy defense relay,2.5,3,no,,
MUSIC_CORE_CRITICAL_LAYER,music,Loopable subtle 8-bit industrial danger layer for critically damaged friendly core,30,2,yes,,
MUSIC_OVERDRIVE_STING,music,Short powerful 8-bit sci-fi musical accent for Commander Overdrive activation,3,3,no,,
MUSIC_ROUND_VICTORY,music,Short 8-bit industrial sci-fi round victory music for a multi-round series,4,3,no,,
MUSIC_ROUND_DEFEAT,music,Short 8-bit industrial sci-fi round defeat music for a multi-round series,4,3,no,,
MUSIC_MATCH_VICTORY,music,"Triumphant 8-bit industrial sci-fi robot battle victory theme, no vocals",12,2,no,,
MUSIC_MATCH_DEFEAT,music,"Dark 8-bit industrial sci-fi robot battle defeat theme with failing systems, no vocals",12,2,no,,
MUSIC_MATCH_DRAW,music,"Neutral unresolved 8-bit industrial sci-fi match draw theme, no vocals",7,2,no,,
